Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,245,100,179983,1.12489,189109,0,305,0.00190625,3310,2984,0.01,0,0.008,0.404,0.402,0.003,0.402,0.851,0,0,0.002,0,169.231,232,65.6154,40.339,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,260,100,14938600,93.3662,14938600,0,305,0.00190625,79,0,0.009,0,0.002,34.741,34.741,0.011,34.741,69.529,0,0,0.01,0,84,3591,156.84,702.644,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,260,100,320700,2.00438,364188,0,305,0.00190625,3461,1631,0.014,0,0.006,0.827,0.822,0.025,0.822,1.747,0,0,0.023,0,65.3061,1970,59.3469,279.126,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,260,100,1479164,9.24478,1479164,0,305,0.00190625,3345,79,0.013,0,0.002,3.251,3.251,0.021,3.251,6.589,0,0.001,0.02,0,72.9167,204,19.2292,48.7426,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,260,100,434940,2.71837,435044,0,305,0.00190625,3301,465,0.015,0,0.004,0.959,0.956,0.003,0.956,1.962,0,0,0.002,0,96,2007,169.36,377.593,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,260,100,243385,1.52116,243385,0,305,0.00190625,3301,2382,0.014,0,0.005,0.536,0.534,0.003,0.534,1.118,0,0,0.002,0,160,237,92.68,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,275,100,15236250,95.2266,15236250,0,305,0.00190625,37,0,0.009,0,0.002,34.87,34.87,0.012,34.87,69.789,0,0,0.012,0,86.9565,3741,172.304,761.501,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,275,100,543854,3.39909,607410,0,305,0.00190625,3185,1414,0.014,0,0.008,1.228,1.226,0.024,1.226,2.552,0,0,0.022,0,65.9574,1750,72.3617,273.386,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,275,100,2142773,13.3923,2142773,0,305,0.00190625,3093,37,0.012,0,0.002,4.776,4.775,0.022,4.775,9.634,0,0,0.021,0,77.7778,302,26.4,68.165,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,275,100,558406,3.49004,558406,0,305,0.00190625,3268,508,0.011,0,0.005,1.342,1.338,0.005,1.337,2.728,0,0,0.003,0,100,1986,183.652,385.327,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,275,100,207610,1.29756,210560,0,305,0.00190625,3268,2942,0.014,0,0.008,0.48,0.479,0.004,0.478,1.012,0,0,0.003,0,165.217,227,77.8261,22.6776,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,290,100,13954040,87.2127,13954040,0,305,0.00190625,178,0,0.012,0,0.002,32.132,32.132,0.011,32.132,64.317,0,0,0.011,0,77.2727,3048,173.727,641.555,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,290,100,1396195,8.72622,1446250,0,305,0.00190625,3091,635,0.016,0,0.007,3.393,3.389,0.027,3.389,6.89,0,0,0.025,0,68.8889,2543,94.9778,390.855,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,290,100,1580244,9.87653,1580244,0,305,0.00190625,3323,178,0.013,0,0.002,3.562,3.562,0.028,3.562,7.222,0,0,0.027,0,65.8537,202,25.5122,53.6834,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,290,100,422340,2.63963,422340,0,305,0.00190625,3498,594,0.019,0,0.004,0.933,0.929,0.003,0.929,1.923,0,0,0.002,0,100,1964,177.636,397.384,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,290,100,258966,1.61854,258966,0,305,0.00190625,3498,2380,0.018,0,0.008,0.605,0.604,0.003,0.603,1.272,0,0,0.003,0,159.091,191,96.4545,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,305,100,14886070,93.0379,14886070,0,305,0.00190625,178,0,0.01,0,0.002,34.196,34.196,0.014,34.196,68.447,0,0,0.013,0,86.3636,3632,173.727,755.196,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,305,100,400470,2.50294,416205,0,305,0.00190625,3336,472,0.011,0,0.007,0.865,0.862,0.026,0.862,1.82,0,0,0.024,0,67.5,1549,104.8,292.774,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,305,100,1464832,9.1552,1464832,0,305,0.00190625,3308,178,0.012,0,0.002,3.3,3.3,0.02,3.3,6.683,0,0,0.02,0,73.1707,246,22.1951,52.1888,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,305,100,545810,3.41131,545810,0,305,0.00190625,3368,505,0.009,0,0.004,1.2,1.196,0.003,1.196,2.434,0,0,0.002,0,100,2184,187.591,437.601,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,305,100,451486,2.82179,454879,0,305,0.00190625,3368,1724,0.009,0,0.008,1.007,1.007,0.003,1.006,2.057,0,0,0.002,0,159.091,193,132.182,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,320,100,14343360,89.646,14343360,0,305,0.00190625,65,0,0.013,0,0.002,31.99,31.99,0.012,31.99,64.035,0,0,0.012,0,85.7143,2832,187.381,631.267,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,320,100,624928,3.9058,633805,0,305,0.00190625,3277,370,0.012,0,0.007,1.36,1.354,0.027,1.354,2.815,0,0,0.025,0,50,1227,114.553,269.191,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,320,100,2027686,12.673,2027686,0,305,0.00190625,3224,65,0.009,0,0.001,4.545,4.545,0.022,4.545,9.168,0,0.001,0.02,0,75,280,28.5,65.6289,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,320,100,255144,1.59465,255144,0,305,0.00190625,3532,441,0.01,0,0.004,0.6,0.598,0.003,0.597,1.234,0,0,0.002,0,95.2381,2010,191.762,414.936,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,320,100,233720,1.46075,234890,0,305,0.00190625,3532,2341,0.01,0,0.006,0.515,0.513,0.003,0.513,1.07,0,0,0.002,0,157.143,200,101.286,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,335,100,8214360,51.3398,8214360,0,305,0.00190625,101,0,0.02,0,0.002,17.923,17.923,0.012,17.923,35.916,0,0,0.011,0,68.4211,1892,205.211,546.23,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,335,100,669036,4.18147,722489,0,305,0.00190625,3254,540,0.011,0,0.007,1.519,1.516,0.027,1.516,3.128,0,0,0.025,0,63.8889,1341,116.833,308.704,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,335,100,3680029,23.0002,3680029,0,305,0.00190625,3048,101,0.013,0,0.002,8.129,8.129,0.015,8.129,16.327,0,0,0.015,0,57.1429,1687,112.964,323.846,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,335,100,483248,3.0203,483248,0,305,0.00190625,3313,508,0.01,0,0.006,1.05,1.046,0.003,1.045,2.14,0,0,0.003,0,100,1990,219.947,424.537,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,335,100,294270,1.83919,294838,0,305,0.00190625,3313,2356,0.012,0,0.006,0.637,0.637,0.003,0.636,1.319,0,0,0.002,0,152.632,221,122.684,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,350,100,12180600,76.1287,12180600,0,305,0.00190625,93,0,0.013,0,0.002,26.388,26.388,0.011,26.388,52.828,0,0,0.011,0,68.4211,3604,205.632,802.17,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,350,100,475077,2.96923,498147,0,305,0.00190625,3358,456,0.011,0,0.006,1.043,1.04,0.028,1.04,2.178,0,0,0.026,0,62.8571,1224,119.6,282.191,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,350,100,3195597,19.9725,3195597,0,305,0.00190625,3234,93,0.01,0,0.002,6.947,6.947,0.022,6.947,13.972,0,0,0.022,0,56.25,721,50.0625,134.775,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,350,100,586259,3.66412,586259,0,305,0.00190625,3484,398,0.02,0,0.005,1.308,1.306,0.002,1.306,2.67,0,0,0.002,0,100,2124,216.737,456.429,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,350,100,483473,3.02171,484593,0,305,0.00190625,3484,1686,0.015,0,0.006,1.105,1.104,0.003,1.104,2.258,0,0,0.003,0,173.684,212,148.947,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,365,100,6437830,40.2364,6437830,0,305,0.00190625,167,0,0.011,0,0.002,14.819,14.819,0.014,14.819,29.692,0,0,0.013,0,66.6667,1890,212.944,523.858,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,365,100,254304,1.5894,276391,0,305,0.00190625,3507,832,0.014,0,0.006,0.562,0.56,0.024,0.56,1.214,0,0,0.022,0,61.7647,2496,107.676,424.327,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,365,100,2801360,17.5085,2801360,0,305,0.00190625,3075,167,0.012,0,0.002,6.214,6.213,0.014,6.213,12.493,0,0,0.013,0,56,1890,136.72,385.168,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,365,100,762238,4.76399,762238,0,305,0.00190625,3242,364,0.015,0,0.004,1.663,1.659,0.003,1.659,3.37,0,0,0.002,0,100,2098,244.111,449.022,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,365,100,271873,1.69921,273025,0,305,0.00190625,3242,2999,0.012,0,0.007,0.59,0.59,0.003,0.59,1.224,0,0,0.002,0,166.667,274,97.7222,35.1517,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,380,100,13054900,81.5931,13054900,0,305,0.00190625,82,0,0.015,0,0.002,28.119,28.119,0.013,28.119,56.299,0,0,0.012,0,66.6667,3594,217.667,819.911,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,380,100,165005,1.03128,206302,0,305,0.00190625,3490,1517,0.018,0,0.007,0.357,0.352,0.024,0.352,0.816,0,0,0.022,0,52.9412,661,88.0294,152.253,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,380,100,3327792,20.7987,3327792,0,305,0.00190625,3165,82,0.013,0,0.002,7.167,7.167,0.02,7.167,14.414,0,0,0.019,0,64.5161,715,55.0645,140.734,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,380,100,354708,2.21692,354708,0,305,0.00190625,3509,438,0.012,0,0.004,0.809,0.806,0.003,0.806,1.658,0,0,0.002,0,100,2032,225.167,446.84,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,380,100,279060,1.74412,280752,0,305,0.00190625,3509,2337,0.013,0,0.007,0.602,0.599,0.004,0.599,1.254,0,0,0.003,0,155.556,230,119.667,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,395,100,13455280,84.0955,13455280,0,305,0.00190625,112,0,0.019,0,0.002,31.698,31.698,0.011,31.698,63.464,0,0,0.011,0,72.2222,3765,216,860.921,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,395,100,416433,2.60271,473606,0,305,0.00190625,3206,634,0.015,0,0.008,0.944,0.942,0.026,0.942,1.989,0,0,0.024,0,59.375,1588,130,314.321,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,395,100,3552160,22.201,3552160,0,305,0.00190625,3192,112,0.01,0,0.002,8.325,8.325,0.024,8.325,16.734,0,0,0.022,0,66.6667,747,55.9333,145.833,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,395,100,568075,3.55047,568075,0,305,0.00190625,3261,455,0.013,0,0.004,1.28,1.278,0.003,1.278,2.601,0,0,0.002,0,100,2070,238,449.698,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,395,100,334499,2.09062,334603,0,305,0.00190625,3261,2331,0.01,0,0.007,0.749,0.749,0.003,0.749,1.542,0,0,0.003,0,144.444,243,133.778,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,410,100,13412330,83.8271,13412330,0,305,0.00190625,169,0,0.011,0,0.002,30.259,30.259,0.012,30.259,60.568,0,0,0.012,0,58.8235,3598,225.353,843.39,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,410,100,173308,1.08317,213907,0,305,0.00190625,3326,1706,0.017,0,0.006,0.393,0.392,0.024,0.391,0.886,0,0,0.022,0,48.3871,482,95.7419,141.151,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,410,100,3510893,21.9431,3510893,0,305,0.00190625,3235,169,0.012,0,0.002,8.022,8.022,0.019,8.022,16.12,0,0.001,0.019,0,58.6207,715,59.069,139.204,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,410,100,666374,4.16484,666374,0,305,0.00190625,3277,515,0.013,0,0.004,1.527,1.524,0.002,1.523,3.094,0,0.001,0.002,0,94.1176,2193,247.529,489.267,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,410,100,228824,1.43015,233894,0,305,0.00190625,3277,2984,0.01,0,0.008,0.518,0.513,0.003,0.513,1.078,0,0,0.002,0,147.059,230,102.294,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,425,100,12297800,76.8612,12297800,0,305,0.00190625,160,0,0.01,0,0.002,28.177,28.177,0.015,28.177,56.408,0,0,0.014,0,41.1765,2984,225.882,698.957,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,425,100,492929,3.08081,524229,0,305,0.00190625,3231,295,0.015,0,0.008,1.152,1.145,0.029,1.145,2.413,0,0,0.027,0,56.6667,1301,149.133,287.135,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,425,100,3691463,23.0716,3691463,0,305,0.00190625,3490,160,0.017,0,0.002,8.613,8.612,0.021,8.612,17.319,0,0,0.02,0,42.3077,593,75.3462,142.701,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,425,100,807003,5.04377,807134,0,305,0.00190625,3298,531,0.019,0,0.004,1.769,1.766,0.003,1.766,3.592,0,0,0.002,0,94.1176,2200,245.353,492.08,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,425,100,283333,1.77083,285895,0,305,0.00190625,3298,2980,0.009,0,0.006,0.662,0.658,0.003,0.658,1.362,0,0,0.001,0,158.824,266,101.294,20.2725,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,440,100,13894320,86.8395,13894320,0,305,0.00190625,148,0,0.013,0,0.002,31.803,31.803,0.012,31.803,63.66,0,0,0.011,0,47.0588,3440,226.588,804.163,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,440,100,145972,0.912325,173614,0,305,0.00190625,3447,1437,0.018,0,0.006,0.353,0.352,0.031,0.352,0.818,0,0,0.028,0,53.3333,1040,103.867,208.635,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,440,100,3630611,22.6913,3630611,0,305,0.00190625,3335,148,0.012,0,0.002,8.019,8.019,0.019,8.019,16.114,0,0,0.019,0,50,681,62.7857,132.167,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,440,100,851603,5.32252,851603,0,305,0.00190625,3408,276,0.012,0,0.004,1.887,1.885,0.003,1.885,3.813,0,0,0.003,0,100,2208,253.882,494.088,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,440,100,322786,2.01741,322897,0,305,0.00190625,3408,3003,0.014,0,0.006,0.716,0.714,0.002,0.714,1.476,0,0,0.001,0,158.824,328,93.4706,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,455,100,14160810,88.5051,14160810,0,305,0.00190625,108,0,0.012,0,0.002,30.903,30.903,0.012,30.903,61.858,0,0,0.011,0,30.7692,3474,299.385,917.276,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,455,100,137105,0.856906,142598,0,305,0.00190625,3461,1129,0.009,0,0.007,0.304,0.303,0.028,0.303,0.698,0,0,0.026,0,40.7407,1439,126.296,278.772,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,455,100,2176770,13.6048,2176770,0,305,0.00190625,3300,108,0.011,0,0.002,4.699,4.699,0.02,4.699,9.476,0,0,0.02,0,44,280,55.92,77.6072,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,455,100,766754,4.79221,766754,0,305,0.00190625,3354,163,0.012,0,0.005,1.678,1.675,0.003,1.675,3.398,0,0,0.002,0,100,2132,344.846,517.735,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,455,100,469896,2.93685,470928,0,305,0.00190625,3354,2254,0.01,0,0.007,1.02,1.018,0.004,1.017,2.082,0,0,0.003,0,146.154,271,184,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,470,100,14226420,88.9151,14226420,0,305,0.00190625,64,0,0.01,0,0.002,30.916,30.916,0.014,30.916,61.886,0,0,0.014,0,53.8462,3476,302.769,917.999,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,470,100,543428,3.39642,555924,0,305,0.00190625,3163,1892,0.014,0,0.006,1.187,1.185,0.026,1.185,2.466,0,0,0.024,0,48.1481,1156,109.074,225.942,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,470,100,2241542,14.0096,2241542,0,305,0.00190625,3302,64,0.009,0,0.002,5.088,5.088,0.023,5.088,10.254,0,0,0.022,0,54.1667,290,60.0833,88.6622,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,470,100,636401,3.97751,636401,0,305,0.00190625,3452,207,0.012,0,0.005,1.382,1.381,0.003,1.381,2.806,0,0,0.002,0,100,2107,333.923,521.58,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,470,100,398954,2.49346,399072,0,305,0.00190625,3452,2295,0.012,0,0.006,0.878,0.874,0.003,0.873,1.8,0,0,0.002,0,146.154,280,173.308,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,485,100,14529540,90.8096,14529540,0,305,0.00190625,64,0,0.014,0,0.002,31.844,31.844,0.011,31.844,63.742,0,0,0.01,0,69.2308,3564,302.769,943.319,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,485,100,924064,5.7754,941638,0,305,0.00190625,3193,382,0.016,0,0.006,2.148,2.145,0.025,2.145,4.39,0,0,0.023,0,50,3046,170.192,583.546,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,485,100,2235781,13.9736,2235781,0,305,0.00190625,3293,64,0.009,0,0.002,5.025,5.025,0.02,5.025,10.124,0,0,0.02,0,62.5,293,57.1667,90.6585,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,485,100,654224,4.0889,654224,0,305,0.00190625,3239,202,0.012,0,0.006,1.515,1.512,0.003,1.512,3.076,0,0,0.002,0,100,2192,350.692,533.263,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,485,100,463960,2.89975,465227,0,305,0.00190625,3239,1725,0.011,0,0.008,1.024,1.022,0.004,1.022,2.094,0,0,0.002,0,138.462,265,233.538,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,500,100,7552000,47.2,7552000,0,305,0.00190625,102,0,0.012,0,0.002,16.421,16.421,0.011,16.421,32.893,0,0,0.01,0,41.6667,2504,324.833,695.935,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,500,100,402774,2.51734,496366,0,305,0.00190625,3333,592,0.017,0,0.007,0.894,0.89,0.025,0.89,1.888,0,0,0.023,0,40,2198,163,432.703,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,500,100,4635686,28.973,4635686,0,305,0.00190625,3577,102,0.009,0,0.002,10.497,10.497,0.013,10.497,21.05,0,0,0.013,0,33.3333,2504,235.133,611.642,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,500,100,768156,4.80098,768156,0,305,0.00190625,3251,201,0.014,0,0.004,1.767,1.764,0.003,1.764,3.582,0,0,0.002,0,100,2241,379,558.62,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,500,100,637010,3.98131,644537,0,305,0.00190625,3251,1691,0.012,0,0.006,1.519,1.517,0.004,1.517,3.084,0,0,0.003,0,141.667,250,254.833,-nan,1,1
