Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
reTOUCH,16,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,412438,0.644434,1738472,1152,7273,0.0113641,5841,1674,0.023,0,0.009,0.908,0.9,0.005,0,1.902,0.002,0,0.004,0.004,167.5,1295,70.7083,196.217,481,481
rereTOUCH,16,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,557217,0.870652,2440557,2039,7273,0.0113641,5841,1743,0.026,0,0.013,1.224,1.222,0.005,0,2.55,0.002,0,0.004,0.005,183.333,882,70.1333,101.528,481,481
TOUCH,16,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,22356544,22.3565,80256400,19883942,10934,0.010934,1037,0,0.027,0,0.004,61.241,52.519,0.028,0,122.606,0.996,0.001,0.027,0,96.732,6229,58.5817,535.42,6,6
cTOUCH,16,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1725958,1.72596,3303772,2964,10934,0.010934,7865,1410,0.026,0,0.017,3.692,3.686,0.065,0,7.62,0.002,0,0.06,0.007,90.0662,4756,35.5132,338.564,605,605
dTOUCH,16,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,436015,0.436015,12840979,244571,10934,0.010934,7767,1037,0.027,0,0.005,0.951,0.929,0.055,0,2.103,0.014,0,0.051,0.015,92.3077,794,9.04545,58.1168,23,23
reTOUCH,16,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,621275,0.621275,1732739,1139,10934,0.010934,7995,1970,0.03,0,0.01,1.335,1.328,0.007,0,2.781,0.002,0,0.005,0.006,169.281,1692,65.5882,192.766,613,613
rereTOUCH,16,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,615396,0.615396,1710059,2002,10934,0.010934,7995,4242,0.03,0,0.015,1.321,1.319,0.007,0,2.763,0.004,0,0.005,0.004,181.046,531,50.7386,52.9349,613,613
TOUCH,19,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,32798647,91.1074,28437000,29165792,9925,0.0275694,671,0,0.022,0,0.003,84.877,74.433,0.016,0,169.841,1.48,0,0.015,0,92.3077,4699,58.5604,491.167,8,8
cTOUCH,19,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,669504,1.85973,1062340,2166,9925,0.0275694,4730,896,0.018,0,0.01,1.436,1.434,0.037,0,3.014,0.004,0,0.034,0.003,86.2637,4394,35.022,326.867,365,365
dTOUCH,19,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,633741,1.76039,4155300,408683,9925,0.0275694,4601,671,0.018,0,0.003,1.298,1.269,0.031,0,2.715,0.022,0,0.029,0.017,90.8537,567,12.1951,63.9426,16,16
reTOUCH,19,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,463279,1.28689,1171660,1585,9925,0.0275694,4719,1487,0.018,0,0.006,0.997,0.988,0.004,0,2.059,0.002,0,0.003,0.003,176.923,950,63.6703,166.533,365,365
rereTOUCH,19,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,575617,1.59894,1270460,2120,9925,0.0275694,4719,2378,0.018,0,0.008,1.246,1.242,0.004,0,2.562,0.002,0,0.003,0.003,184.615,539,53.8791,63.3654,365,365
TOUCH,19,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,39776322,62.1505,56471100,35112731,11942,0.0186594,868,0,0.03,0,0.004,100.723,85.974,0.021,0,201.557,1.835,0,0.021,0,97.5,7029,59.4333,638.951,4,4
cTOUCH,19,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,929094,1.45171,1456231,2403,11942,0.0186594,6712,1469,0.024,0,0.013,2.187,2.178,0.051,0,4.566,0.002,0,0.047,0.005,86.722,2308,32.444,220.507,483,483
dTOUCH,19,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,722904,1.12954,9457252,460083,11942,0.0186594,6116,868,0.024,0,0.004,1.483,1.447,0.041,0,3.128,0.03,0,0.039,0.019,95.1327,1088,9.12389,78.3091,12,12
reTOUCH,19,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,569641,0.890064,2172579,1990,11942,0.0186594,5731,1524,0.026,0,0.009,1.217,1.207,0.005,0,2.529,0.004,0,0.004,0.005,170.833,1467,72.875,210.114,481,481
rereTOUCH,19,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,671439,1.04912,2976001,3337,11942,0.0186594,5731,1592,0.026,0,0.013,1.421,1.418,0.005,0,2.946,0.004,0,0.004,0.004,182.5,1104,72.3083,120.964,481,481
TOUCH,19,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,54079881,54.0799,80794600,47770573,17577,0.017577,1008,0,0.03,0,0.005,132.855,117.506,0.027,0,265.838,2.474,0,0.026,0,96.732,6310,58.7712,540.683,6,6
cTOUCH,19,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1886839,1.88684,3529964,5473,17577,0.017577,7774,1326,0.028,0,0.017,4.037,4.03,0.064,0,8.313,0.006,0,0.059,0.006,91.0596,4808,36.0927,343.733,605,605
dTOUCH,19,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,862729,0.862729,16652408,515788,17577,0.017577,7412,1008,0.03,0,0.005,1.799,1.762,0.053,0,3.803,0.033,0,0.051,0.02,94.0559,1297,10.2657,83.9126,18,18
reTOUCH,19,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,866698,0.866698,2231134,1999,17577,0.017577,7874,1799,0.032,0,0.01,1.861,1.859,0.007,0,3.841,0.004,0,0.005,0.006,173.856,1812,67.4967,215.081,613,613
rereTOUCH,19,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,891002,0.891002,2113430,3919,17577,0.017577,7874,3899,0.03,0,0.015,1.891,1.89,0.007,0,3.903,0.004,0,0.006,0.005,184.314,614,53.7712,61.7703,613,613
TOUCH,22,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,72361381,201.004,28557200,64603512,15257,0.0423806,651,0,0.022,0,0.003,177.264,157.041,0.016,0,354.613,3.442,0,0.015,0,92.3077,4719,58.7802,493.224,8,8
cTOUCH,22,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,728500,2.02361,1119013,3427,15257,0.0423806,4697,813,0.021,0,0.01,1.551,1.545,0.036,0,3.251,0.003,0,0.033,0.003,85.7143,4477,35.6593,332.965,365,365
dTOUCH,22,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1173298,3.25916,4577957,805032,15257,0.0423806,4506,651,0.021,0,0.003,2.357,2.314,0.028,0,4.836,0.04,0,0.028,0.022,90.8537,746,12.7683,73.6403,16,16
reTOUCH,22,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,527840,1.46622,1257320,2627,15257,0.0423806,4692,1361,0.018,0,0.006,1.118,1.116,0.004,0,2.31,0.004,0,0.003,0.004,176.923,1006,65.3516,174.063,365,365
rereTOUCH,22,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,617225,1.71451,1292043,3747,15257,0.0423806,4692,2209,0.017,0,0.008,1.338,1.334,0.005,0,2.748,0.002,0,0.004,0.003,182.418,630,56.033,72.98,365,365
TOUCH,22,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,88023782,137.537,56778000,78062025,18533,0.0289578,836,0,0.025,0,0.004,225.525,197.783,0.021,0,451.245,4.342,0,0.02,0,97.5,7076,59.7,643.212,4,4
cTOUCH,22,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1010103,1.57829,1565152,3866,18533,0.0289578,6647,1342,0.178,0,0.014,2.147,2.142,0.082,0,4.996,0.006,0,0.047,0.005,86.3071,2340,33.2407,224.289,483,483
dTOUCH,22,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1373390,2.14592,11790804,928638,18533,0.0289578,5952,836,0.027,0,0.004,2.815,2.76,0.043,0,5.842,0.058,0,0.042,0.025,94.6903,1452,9.88938,98.2287,13,13
reTOUCH,22,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,629823,0.984098,2539548,3458,18533,0.0289578,5605,1426,0.025,0,0.009,1.354,1.347,0.046,0,2.891,0.006,0,0.003,0.005,173.333,1669,74.7417,228.46,481,481
rereTOUCH,22,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,749088,1.17045,4043608,5569,18533,0.0289578,5605,1444,0.023,0,0.012,1.599,1.598,0.005,0,3.294,0.004,0,0.004,0.005,182.5,1295,74.5917,133.947,481,481
TOUCH,22,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,116854886,116.855,81260400,103675068,26963,0.026963,973,0,0.027,0,0.005,278.659,249.563,0.031,0,557.608,5.643,0,0.029,0,96.732,6393,59,545.61,6,6
cTOUCH,22,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,2082540,2.08254,3951376,9148,26963,0.026963,7675,1260,0.134,0,0.017,4.433,4.424,0.096,0,9.511,0.01,0,0.061,0.007,90.3974,4887,36.6391,349.433,605,605
dTOUCH,22,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1534996,1.535,13288678,986325,26963,0.026963,7391,973,0.031,0,0.005,3.08,3.024,0.055,0,6.434,0.06,0,0.053,0.025,92.6573,781,10.3287,69.1683,22,22
reTOUCH,22,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,976324,0.976324,2628788,3197,26963,0.026963,7731,1645,0.03,0,0.011,2.094,2.087,0.022,0,4.341,0.008,0,0.006,0.007,176.471,1776,69.4379,226.566,613,613
rereTOUCH,22,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1088855,1.08885,2700142,6654,26963,0.026963,7731,2773,0.028,0,0.016,2.349,2.344,0.009,0,4.834,0.008,0,0.007,0.006,185.621,744,62.0654,70.4674,613,613
TOUCH,25,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,144129925,400.361,28705200,130045887,22257,0.061825,631,0,0.025,0,0.003,340.238,309.294,0.016,0,683.324,7.293,0,0.016,0,92.3077,4741,59,495.443,8,8
cTOUCH,25,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,811617,2.25449,1200503,5420,22257,0.061825,4657,751,0.04,0,0.011,1.745,1.739,0.057,0,3.85,0.005,0,0.041,0.004,85.7143,4576,36.2198,340.49,365,365
dTOUCH,25,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,2023391,5.62053,4007708,1478697,22257,0.061825,4482,631,0.017,0,0.003,4.008,3.941,0.031,0,8.235,0.079,0,0.03,0.027,90.2439,455,12.7988,60.5083,17,17
reTOUCH,25,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,566426,1.57341,1347123,4705,22257,0.061825,4652,1249,0.021,0,0.009,1.212,1.209,0.04,0,2.589,0.006,0,0.006,0.007,178.022,1103,67.022,181.721,365,365
rereTOUCH,25,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,667517,1.85421,1658289,6554,22257,0.061825,4652,1771,0.021,0,0.009,1.435,1.434,0.029,0,3.002,0.005,0,0.028,0.003,184.615,715,61.2857,86.8824,365,365
TOUCH,25,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,176358389,275.56,56960000,158060668,27278,0.0426219,808,0,0.023,0,0.004,603.098,559.499,0.022,0,1206.37,9.287,0,0.021,0,97.5,7100,59.9333,645.391,4,4
cTOUCH,25,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1079383,1.68654,1678728,6752,27278,0.0426219,6584,1260,0.075,0,0.014,2.307,2.302,0.068,0,5.152,0.008,0,0.064,0.005,85.8921,2424,33.8423,228.129,483,483
dTOUCH,25,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,2419581,3.7806,12566008,1736432,27278,0.0426219,5827,808,0.026,0,0.004,4.839,4.743,0.042,0,9.842,0.111,0,0.04,0.039,94.6903,1548,10.4823,104.751,13,13
reTOUCH,25,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,667223,1.04254,2789590,5977,27278,0.0426219,5496,1326,0.022,0,0.008,1.421,1.416,0.005,0,2.933,0.008,0,0.004,0.005,177.5,1861,76.4833,247.039,481,481
rereTOUCH,25,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,802388,1.25373,4648359,10304,27278,0.0426219,5496,1392,0.026,0,0.012,1.753,1.749,0.005,0,3.61,0.008,0,0.004,0.005,183.333,1457,75.9333,146.566,481,481
TOUCH,25,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,231466757,231.467,81665900,207104732,39526,0.039526,940,0,0.03,0,0.004,537.911,491.911,0.028,0,1076.42,11.757,0,0.027,0,96.732,6455,59.2157,549.488,6,6
cTOUCH,25,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,2264644,2.26464,4121214,15426,39526,0.039526,7589,1175,0.067,0,0.017,4.925,4.918,0.074,0,10.309,0.014,0,0.06,0.007,90.3974,4941,37.2053,355.168,605,605
dTOUCH,25,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,2620838,2.62084,15557467,1802941,39526,0.039526,7398,940,0.032,0,0.005,5.283,5.188,0.055,0,10.836,0.132,0,0.053,0.028,93.0556,1075,10.2049,73.5151,21,21
reTOUCH,25,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1104690,1.10469,2966733,5089,39526,0.039526,7633,1497,0.03,0,0.011,2.397,2.39,0.069,0,5.039,0.01,0,0.005,0.006,177.124,1720,71.0458,238.171,613,613
rereTOUCH,25,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1244789,1.24479,2339816,11460,39526,0.039526,7633,2497,0.028,0,0.016,2.652,2.647,0.007,0,5.429,0.01,0,0.005,0.006,185.621,894,64.5098,81.6656,613,613
TOUCH,28,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,263758717,732.663,28814400,239283236,30235,0.0839861,593,0,0.016,0,0.003,897.415,846.193,0.018,0,1795.28,17.141,0,0.017,0,92.3077,4759,59.4176,497.44,8,8
cTOUCH,28,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,882172,2.45048,1249012,8846,30235,0.0839861,4633,713,0.54,0,0.01,1.861,1.854,0.242,0,6.105,0.009,0.001,0.036,0.003,86.8132,4768,36.5604,354.269,365,365
dTOUCH,28,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,3383788,9.39941,4118188,2562201,30235,0.0839861,4439,593,0.024,0,0.003,6.656,6.551,0.03,0,14.893,0.149,0,0.029,0.03,90.2439,480,13.2439,62.9217,17,17
reTOUCH,28,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,635242,1.76456,1465025,7468,30235,0.0839861,4608,1146,0.02,0,0.006,1.37,1.362,0.004,0,3.506,0.009,0,0.004,0.004,176.923,1210,68.6374,191.67,365,365
rereTOUCH,28,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,729576,2.0266,1786233,10362,30235,0.0839861,4608,1617,0.013,0,0.009,1.575,1.572,0.004,0,3.318,0.006,0,0.002,0.003,184.615,789,63.4615,94.4853,365,365
cTOUCH,28,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1195724,1.86832,1919691,10883,37572,0.0587063,6507,1163,0.054,0,0.013,2.543,2.535,0.053,0,5.742,0.014,0,0.048,0.055,86.3071,2494,34.5643,231.863,483,483
dTOUCH,28,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,4033479,6.30231,13841535,3024587,37572,0.0587063,5706,790,0.026,0,0.003,7.992,7.853,0.043,0,16.15,0.198,0,0.041,0.039,95.1542,1729,10.9648,116.113,12,12
reTOUCH,28,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,759124,1.18613,3216419,9399,37572,0.0587063,5407,1224,0.023,0,0.009,1.628,1.622,0.004,0,3.351,0.012,0,0.003,0.005,180,2026,78.075,259.556,481,481
rereTOUCH,28,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,867095,1.35484,5107337,15048,37572,0.0587063,5407,1330,0.022,0,0.013,1.86,1.856,0.005,0,3.821,0.01,0,0.004,0.005,185,1394,77.1917,141.28,481,481
cTOUCH,28,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,2424422,2.42442,4134405,23334,54585,0.054585,7498,1076,0.156,0,0.018,5.304,5.297,0.068,0,11.699,0.019,0,0.062,0.034,89.404,4813,37.8344,353.212,605,605
dTOUCH,28,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,4295942,4.29594,13868008,3127183,54585,0.054585,7335,916,0.027,0,0.005,8.615,8.475,0.055,0,17.496,0.206,0,0.053,0.035,93.0556,779,10.434,61.5754,21,21
reTOUCH,28,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1282799,1.2828,3418906,8320,54585,0.054585,7524,1352,0.026,0,0.011,2.757,2.752,0.006,0,5.938,0.016,0,0.005,0.007,181.046,1689,72.7059,250.451,613,613
rereTOUCH,28,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1517260,1.51726,2821985,17977,54585,0.054585,7524,2242,0.037,0,0.016,3.24,3.236,0.008,0,7.139,0.013,0,0.007,0.006,186.275,1109,66.8889,101.309,613,613
